PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;4;1;28079004_1_38;2021;06;01;00010;V;00010;V;00011;V;00011;V;00011;V;00011;V;00011;V;00011;V;00011;V;00012;V;00011;V;00011;V;00010;V;00010;V;00013;N;00011;N;00008;V;00008;V;00007;V;00006;V;00007;V;00009;V;00010;V;00010;V
28;079;4;1;28079004_1_38;2021;06;02;00010;V;00011;V;00011;V;00011;V;00011;V;00011;V;00011;V;00012;V;00013;V;00013;V;00011;V;00007;N;00010;V;00010;V;00010;V;00009;V;00008;V;00008;V;00008;V;00007;V;00008;V;00009;V;00009;V;00010;V
28;079;4;1;28079004_1_38;2021;06;03;00010;V;00010;V;00011;V;00011;V;00011;V;00011;V;00011;V;00011;V;00012;V;00011;V;00011;V;00011;V;00011;V;00011;V;00010;V;00009;V;00010;V;00010;V;00008;V;00007;V;00007;V;00008;V;00009;V;00010;V
28;079;4;1;28079004_1_38;2021;06;04;00010;V;00010;V;00011;V;00011;V;00011;V;00011;V;00011;V;00012;V;00012;V;00012;V;00011;V;00011;V;00011;V;00010;V;00009;V;00009;V;00010;V;00008;V;00007;V;00007;V;00007;V;00009;V;00009;V;00010;V
28;079;4;1;28079004_1_38;2021;06;05;00011;V;00010;V;00011;V;00011;V;00011;V;00011;V;00011;V;00011;V;00011;V;00011;V;00011;V;00011;V;00011;V;00010;V;00010;V;00010;V;00010;V;00010;V;00010;V;00010;V;00011;V;00010;V;00010;V;00011;V
28;079;4;1;28079004_1_38;2021;06;06;00011;V;00011;V;00011;V;00011;V;00011;V;00011;V;00011;V;00011;V;00011;V;00011;V;00011;V;00010;V;00010;V;00010;V;00009;V;00009;V;00008;V;00008;V;00007;V;00008;V;00009;V;00009;V;00010;V;00011;V
28;079;4;1;28079004_1_38;2021;06;07;00011;V;00014;N;00014;N;00011;V;00011;V;00011;V;00011;V;00012;V;00012;V;00011;V;00010;V;00010;V;00009;V;00009;V;00008;V;00008;V;00008;V;00007;V;00009;N;00006;V;00007;V;00009;V;00009;V;00010;V
28;079;4;1;28079004_1_38;2021;06;08;00010;V;00010;V;00010;V;00011;V;00011;V;00013;N;00011;V;00010;V;00012;N;00011;V;00010;V;00010;V;00009;V;00009;V;00008;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00008;V;00009;V;00009;V
28;079;4;1;28079004_1_38;2021;06;09;00009;V;00009;V;00010;V;00010;V;00010;V;00011;V;00011;V;00012;N;00014;N;00014;N;00011;V;00010;V;00009;V;00009;V;00007;V;00007;V;00007;V;00007;V;00007;V;00006;V;00007;V;00007;V;00009;V;00009;V
28;079;4;1;28079004_1_38;2021;06;10;00009;V;00009;V;00009;V;00010;V;00010;V;00010;V;00010;V;00010;V;00011;V;00010;V;00010;V;00010;V;00010;V;00009;V;00008;V;00008;V;00007;V;00007;V;00007;V;00006;V;00007;V;00007;V;00008;V;00009;V
28;079;4;1;28079004_1_38;2021;06;11;00009;V;00009;V;00010;V;00010;V;00010;V;00010;V;00011;V;00010;V;00011;V;00010;V;00010;V;00010;V;00009;V;00009;V;00008;V;00007;V;00007;V;00007;V;00007;V;00008;V;00009;V;00010;V;00010;V;00010;V
28;079;4;1;28079004_1_38;2021;06;12;00011;V;00010;V;00011;V;00011;V;00011;V;00011;V;00011;V;00010;V;00011;V;00011;V;00010;V;00010;V;00009;V;00009;V;00009;V;00008;V;00008;V;00007;V;00007;V;00007;V;00007;V;00008;V;00009;V;00009;V
28;079;4;1;28079004_1_38;2021;06;13;00009;V;00010;V;00010;V;00010;V;00010;V;00010;V;00010;V;00010;V;00010;V;00010;V;00009;V;00009;V;00009;V;00009;V;00008;V;00008;V;00007;V;00008;V;00007;V;00007;V;00007;V;00009;N;00014;N;00014;N
28;079;4;1;28079004_1_38;2021;06;14;00010;V;00010;V;00010;V;00010;V;00010;V;00010;V;00010;V;00010;V;00001;N;00010;N;00010;V;00010;V;00010;V;00009;V;00008;V;00008;V;00008;V;00008;V;00008;V;00007;V;00007;V;00007;V;00008;V;00009;V
28;079;4;1;28079004_1_38;2021;06;15;00010;V;00010;V;00010;V;00010;V;00011;V;00011;V;00011;V;00011;V;00011;V;00010;V;00010;V;00009;V;00009;V;00009;V;00009;V;00008;V;00007;V;00008;V;00008;V;00008;V;00008;V;00008;V;00009;V;00009;V
28;079;4;1;28079004_1_38;2021;06;16;00010;V;00010;V;00011;V;00011;V;00010;V;00010;V;00011;V;00010;V;00010;V;00010;V;00010;V;00010;V;00010;V;00009;V;00009;V;00008;V;00008;V;00008;V;00007;V;00008;V;00008;V;00009;V;00011;V;00011;V
28;079;4;1;28079004_1_38;2021;06;17;00012;V;00011;V;00013;N;00015;N;00012;V;00012;V;00012;V;00012;V;00012;V;00012;V;00012;V;00012;V;00012;V;00012;V;00012;V;00012;V;00011;V;00011;V;00010;V;00010;V;00009;V;00010;V;00011;V;00011;V
28;079;4;1;28079004_1_38;2021;06;18;00011;V;00012;V;00012;V;00012;V;00011;V;00011;V;00011;V;00012;V;00013;V;00012;V;00012;V;00012;V;00011;V;00011;V;00011;V;00013;N;00010;N;00009;V;00008;V;00008;V;00008;V;00010;V;00011;V;00011;V
28;079;4;1;28079004_1_38;2021;06;19;00011;V;00011;V;00011;V;00012;V;00011;V;00011;V;00011;V;00012;V;00012;V;00011;V;00011;V;00011;V;00010;V;00010;V;00010;V;00009;V;00009;V;00008;V;00007;V;00007;V;00008;V;00009;V;00010;V;00010;V
28;079;4;1;28079004_1_38;2021;06;20;00011;V;00011;V;00011;V;00011;V;00011;V;00011;V;00011;V;00011;V;00011;V;00011;V;00011;V;00011;V;00011;V;00011;V;00011;V;00010;V;00010;V;00010;V;00010;V;00009;V;00010;V;00014;N;00014;N;00011;V
28;079;4;1;28079004_1_38;2021;06;21;00012;V;00012;V;00011;V;00012;V;00012;V;00011;V;00011;V;00012;V;00012;V;00013;V;00012;V;00012;V;00012;V;00011;V;00010;V;00010;V;00009;V;00009;V;00009;V;00009;V;00010;V;00010;V;00010;V;00011;V
28;079;4;1;28079004_1_38;2021;06;22;00011;V;00012;V;00012;V;00012;V;00012;V;00012;V;00011;V;00012;V;00012;V;00012;V;00011;V;00011;V;00011;V;00010;V;00010;V;00010;V;00010;V;00011;V;00011;V;00011;V;00011;V;00012;V;00012;V;00012;V
28;079;4;1;28079004_1_38;2021;06;23;00012;V;00012;V;00012;V;00014;V;00014;V;00012;V;00011;V;00012;V;00012;V;00012;V;00011;V;00010;V;00010;V;00010;V;00010;V;00010;V;00010;V;00009;V;00009;V;00009;V;00008;V;00009;V;00010;V;00010;V
28;079;4;1;28079004_1_38;2021;06;24;00011;V;00011;V;00011;V;00011;V;00012;V;00011;V;00011;V;00012;V;00012;V;00012;V;00011;V;00011;V;00011;V;00010;V;00009;V;00009;V;00009;V;00008;V;00007;V;00007;V;00007;V;00008;V;00009;V;00010;V
