PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;4;1;28079004_1_38;2021;10;01;00011;N;00011;N;00012;N;00011;N;00011;N;00012;N;00012;N;00013;N;00015;N;00017;N;00014;N;00012;N;00012;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;4;1;28079004_1_38;2021;10;08;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00007;N;00009;N;00008;N;00008;N;00010;N;00011;N;00012;N;00011;N
28;079;4;1;28079004_1_38;2021;10;09;00011;N;00011;N;00011;N;00011;N;00011;N;00011;N;00012;N;00012;N;00015;N;00016;N;00014;N;00012;N;00011;N;00009;N;00009;N;00008;N;00008;N;00009;N;00007;N;00008;N;00010;N;00012;N;00012;N;00012;N
28;079;4;1;28079004_1_38;2021;10;10;00012;N;00012;N;00011;N;00012;N;00011;N;00012;N;00012;N;00011;N;00012;N;00012;N;00011;N;00011;N;00011;N;00010;N;00009;N;00009;N;00009;N;00008;N;00009;N;00008;N;00010;N;00011;N;00012;N;00012;N
28;079;4;1;28079004_1_38;2021;10;11;00012;N;00012;N;00012;N;00011;N;00011;N;00011;N;00011;N;00012;N;00015;N;00016;N;00012;N;00011;N;00011;N;00010;N;00009;N;00009;N;00009;N;00009;N;00009;N;00010;N;00011;N;00012;N;00012;N;00012;N
28;079;4;1;28079004_1_38;2021;10;12;00012;N;00012;N;00011;N;00012;N;00012;N;00012;N;00012;N;00013;N;00014;N;00014;N;00013;N;00012;N;00012;N;00010;N;00008;N;00008;N;00008;N;00007;N;00007;N;00009;N;00010;N;00011;N;00011;N;00011;N
28;079;4;1;28079004_1_38;2021;10;13;00012;N;00011;N;00011;N;00012;N;00012;N;00013;N;00013;N;00015;N;00019;N;00019;N;00015;N;00013;N;00011;N;00009;N;00008;N;00009;N;00010;N;00010;N;00008;N;00009;N;00011;N;00012;N;00012;N;00012;N
28;079;4;1;28079004_1_38;2021;10;14;00012;N;00013;N;00013;N;00014;N;00013;N;00013;N;00014;N;00016;N;00020;N;00019;N;00017;N;00015;N;00012;N;00011;N;00009;N;00010;N;00009;N;00009;N;00009;N;00010;N;00011;N;00013;N;00014;N;00014;N
28;079;4;1;28079004_1_38;2021;10;15;00013;N;00013;N;00013;N;00013;N;00014;N;00014;N;00015;N;00015;N;00019;N;00019;N;00017;N;00015;N;00012;N;00010;N;00009;N;00009;N;00010;N;00009;N;00008;N;00009;N;00010;N;00011;N;00011;N;00011;N
28;079;4;1;28079004_1_38;2021;10;16;00011;N;00012;N;00012;N;00012;N;00012;N;00013;N;00014;N;00014;N;00016;N;00015;N;00013;N;00014;N;00013;N;00011;N;00010;N;00010;N;00010;N;00010;N;00010;N;00010;N;00011;N;00012;N;00013;N;00012;N
28;079;4;1;28079004_1_38;2021;10;17;00011;N;00013;N;00013;N;00012;N;00011;N;00011;N;00012;N;00011;N;00012;N;00012;N;00012;N;00012;N;00011;N;00010;N;00009;N;00009;N;00009;N;00010;N;00009;N;00010;N;00011;N;00011;N;00011;N;00012;N
28;079;4;1;28079004_1_38;2021;10;18;00012;N;00011;N;00011;N;00012;N;00012;N;00015;N;00013;N;00013;N;00015;N;00015;N;00015;N;00013;N;00011;N;00009;N;00008;N;00008;N;00016;N;00002;V;00001;V;00001;V;00003;V;00005;V;00006;V;00005;V
28;079;4;1;28079004_1_38;2021;10;19;00005;V;00005;V;00005;V;00004;V;00004;V;00004;V;00005;V;00006;V;00009;V;00010;V;00007;V;00003;V;00003;V;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00003;V;00006;V;00005;V;00005;V
28;079;4;1;28079004_1_38;2021;10;20;00005;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00006;V;00010;V;00010;V;00008;V;00005;V;00004;V;00003;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00003;V;00003;V;00003;V;00003;V
28;079;4;1;28079004_1_38;2021;10;21;00004;V;00003;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00007;V;00006;V;00006;V;00006;V;00004;V;00002;V;00001;V;00002;V;00001;V;00002;V;00001;V;00001;V;00002;V;00003;V;00003;V;00004;V
28;079;4;1;28079004_1_38;2021;10;22;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00005;V;00005;V;00006;V;00005;V;00005;V;00003;V;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00003;V;00004;V;00004;V;00004;V
28;079;4;1;28079004_1_38;2021;10;23;00004;V;00004;V;00005;V;00006;V;00005;V;00006;V;00006;V;00007;V;00008;V;00007;V;00006;V;00006;V;00004;V;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00002;V;00004;V;00005;V;00007;V
28;079;4;1;28079004_1_38;2021;10;24;00006;V;00007;V;00007;V;00007;V;00006;V;00006;V;00005;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00003;V;00004;V;00005;V;00007;V
28;079;4;1;28079004_1_38;2021;10;25;00008;V;00007;V;00006;V;00006;V;00006;V;00005;V;00005;N;00006;N;00009;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;4;6;28079004_6_48;2021;10;01;000.4;V;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.4;V;000.5;V;000.7;V;000.6;V;000.4;V;000.4;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;4;6;28079004_6_48;2021;10;08;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;000.7;N;000.3;N;000.2;V;000.3;V;000.3;V;000.4;V;000.5;V;000.2;V
28;079;4;6;28079004_6_48;2021;10;09;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.4;V;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.5;V;000.6;V;000.6;V;000.6;V
28;079;4;6;28079004_6_48;2021;10;10;000.4;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.5;V;000.5;V;000.4;V
28;079;4;6;28079004_6_48;2021;10;11;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.4;V;000.5;V;000.3;V;000.4;V;000.3;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.2;V;000.3;V;000.4;V;000.5;V;000.4;V;000.4;V
28;079;4;6;28079004_6_48;2021;10;12;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.4;V;000.4;V;000.3;V;000.3;V
28;079;4;6;28079004_6_48;2021;10;13;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.6;V;000.7;V;000.4;V;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.4;V;000.8;V;000.7;V;000.5;V;000.4;V
28;079;4;6;28079004_6_48;2021;10;14;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.4;V;000.6;V;000.6;V;000.5;V;000.5;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.5;V;000.7;V;000.6;V;000.8;V;000.7;V
28;079;4;6;28079004_6_48;2021;10;15;000.5;V;000.4;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.4;V;000.6;V;000.7;V;000.6;V;000.5;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.3;V;000.2;V;000.2;V;000.3;V
28;079;4;6;28079004_6_48;2021;10;16;000.3;V;000.4;V;000.3;V;000.4;V;000.3;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.3;V;000.3;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.6;V;000.7;V;000.4;V
28;079;4;6;28079004_6_48;2021;10;17;000.4;V;000.6;V;000.5;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.4;V;000.3;V
28;079;4;6;28079004_6_48;2021;10;18;000.2;V;000.2;V;000.3;V;000.2;V;000.3;V;000.2;V;000.3;V;000.3;V;000.7;V;000.7;V;000.6;V;000.5;V;001.0;N;000.3;V;000.2;V;000.3;V;000.2;V;000.5;N;000.3;V;000.3;V;000.5;V;000.7;V;000.9;V;000.6;V
28;079;4;6;28079004_6_48;2021;10;19;000.4;V;000.4;V;000.3;V;000.3;V;000.2;V;000.3;V;000.3;V;000.4;V;000.6;V;000.8;V;000.5;V;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.3;V;000.2;V;000.2;V;000.3;V;000.7;V;001.0;V;000.6;V;000.6;V
28;079;4;6;28079004_6_48;2021;10;20;000.6;V;000.4;V;000.3;V;000.3;V;000.3;V;000.2;V;000.3;V;000.4;V;000.6;V;000.9;V;000.9;V;000.4;V;000.4;V;000.3;V;000.2;V;000.3;V;000.4;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V
