TEMA;TEMA NOMBRE;ENTIDAD;ENTIDAD NOMBRE;ELEMENTO;ELEMENTO NOMBRE;NOMBRE;NIVEL
1;Red Topográfica;9;Cuadrícula UTM 1000;344;Cuadricula UTM 1000;01_utm_1000_p.shp;01009344
1;Red Topográfica;8;Vértice de la Red de Nivelación;343;Símbolo de Vértice de Red de Nivelación;01_vertice_nivelacion_a.shp;01008343
1;Red Topográfica;7;Vértice de la Red Topográfica;5;Símbolo de Vértice;01_rtm_vertices_a.shp;01007005
2;Divisiones administrativas;12;Barrio Municipal;346;Límite de barrio Municipal;02_barrio_l.shp;02012346
2;Divisiones administrativas;12;Barrio Municipal;376;Rotulación de barrios por hojas 1000;02_barrio_1000_a.shp;02012376
2;Divisiones administrativas;11;Distrito Municipal;345;Límite de distrito;02_distrito_l.shp;02011345
2;Divisiones administrativas;11;Distrito Municipal;375;Rótulo de distrito 1000;02_distrito_1000_a.shp;02011375
2;Divisiones administrativas;10;Límite de Municipio;6;Línea de término municipal;02_limite_municipio_l.shp;02010006
2;Divisiones administrativas;10;Límite de Municipio;442;Texto de municipio;02_texto_municipio_a.shp;02010442
2;Divisiones administrativas;16;Límite de Término Municipal colindante;17;Línea de término municipal colindante;02_municipios_colindantes_l.shp;02016017
2;Divisiones administrativas;16;Límite de Término Municipal colindante;377;Rótulo de término municipal colindante por Hoja 1000;02_colindante_1000_a.shp;02016377
2;Divisiones administrativas;15;Mojón de Término Municipal;16;Símbolo de Mojon de término municipal;02_mojon_termino_pt.shp;02015016
3;Edificaciones, construcciones y cerramientos;17;Alambrada ó Tela metálica;19;Línea de alambrada;03_alambrada_l.shp;03017019
3;Edificaciones, construcciones y cerramientos;162;Auxiliar de elemento constructivo y no constructivo;389;Linea auxiliar de elemento constructivo;03_auxiliar_constructivo_l.shp;03162389
3;Edificaciones, construcciones y cerramientos;162;Auxiliar de elemento constructivo y no constructivo;390;Línea auxiliar de elemento no constructivo;03_auxiliar_no_constructivo_l.shp;03162390
3;Edificaciones, construcciones y cerramientos;161;Barandilla;387;Línea de barandilla;03_barandilla_l.shp;03161387
3;Edificaciones, construcciones y cerramientos;18;Cerramiento sin especificar;20;Línea de cerramiento sin especificar;03_cerramiento_sin_especificar_l.shp;03018020
3;Edificaciones, construcciones y cerramientos;31;Construcción permanente en la vía;749;Etiqueta Const Permanente en Vía Pública restitución;03_construccion_permanente_en_via_pt.shp;03031749
3;Edificaciones, construcciones y cerramientos;31;Construcción permanente en la vía;42;Línea de construcción permanente en vía;03_construccion_permanente_via_l.shp;03031042
3;Edificaciones, construcciones y cerramientos;31;Construcción permanente en la vía;43;Recinto de construccion permanente en vía;03_construccion_permanente_en_via_p.shp;03031043
3;Edificaciones, construcciones y cerramientos;33;Depósito a nivel;746;Etiqueta de depósito a nivel restitución;03_deposito_nivel_centroide_pt.shp;03033746
3;Edificaciones, construcciones y cerramientos;33;Depósito a nivel;306;Línea de depósito a nivel;03_deposito_nivel_l.shp;03033306
3;Edificaciones, construcciones y cerramientos;33;Depósito a nivel;47;Recinto de depósito a nivel;03_deposito_nivel_p.shp;03033047
3;Edificaciones, construcciones y cerramientos;34;Depósito elevado;745;Etiqueta de depósito elevado restitución;03_deposito_elevado_pt.shp;03034745
3;Edificaciones, construcciones y cerramientos;34;Depósito elevado;307;Línea de depósito elevado;03_deposito_elevado_l.shp;03034307
3;Edificaciones, construcciones y cerramientos;34;Depósito elevado;48;Recinto de depósito elevado;03_deposito_elevado_p.shp;03034048
